a,b,af,bf,as,bs,afs,bfs,pressure,alpha_endo,alpha_epi,Vol,Apex_Twist,C11,L11,R11
7.590234375,9.144921875,2.770703125,1.371484375,2.304296875,4.480859375,1.060546875,0.905078125,28.578125,-63.984375,56.953125,99.2217723010876,0.529111376372638,-0.15145310690583,-0.0374551129424461,0.27022088534514
1.371484375,0.438671875,4.014453125,5.102734375,3.548046875,0.749609375,7.279296875,2.148828125,12.328125,-75.234375,23.203125,149.175214554615,28.6781847970427,-0.221989167632702,-0.188023930158841,0.845705527954425
6.346484375,5.413671875,8.989453125,0.127734375,8.523046875,5.724609375,2.304296875,7.123828125,25.328125,-30.234375,68.203125,100.958035837426,-4.65017942085629,-0.145291272990599,-0.0692767913765733,0.313760190135228
3.858984375,7.901171875,1.526953125,2.615234375,1.060546875,8.212109375,9.766796875,9.611328125,18.828125,-52.734375,45.703125,104.930524819772,1.02197248028103,-0.164932046077137,-0.0510115613718216,0.322451112877042
8.833984375,2.926171875,6.501953125,7.590234375,6.035546875,3.237109375,4.791796875,4.636328125,5.828125,-7.734375,0.703125,74.214960784452,0.924193951777083,-0.0419995824682019,-0.0205790483787646,0.0681503007340121
0.749609375,3.548046875,2.148828125,1.993359375,7.901171875,1.371484375,6.657421875,7.745703125,13.953125,-69.609375,85.078125,149.07418308669,3.60526849623102,-0.23775691525708,-0.137235992251078,0.78493476171718
5.724609375,8.523046875,7.123828125,6.968359375,2.926171875,6.346484375,1.682421875,2.770703125,26.953125,-24.609375,40.078125,96.9498423360451,-0.675731170986791,-0.125643934359699,-0.0775521962877074,0.284864929561289
3.237109375,6.035546875,4.636328125,9.455859375,5.413671875,8.833984375,9.144921875,0.283203125,20.453125,-47.109375,17.578125,107.42492618667,11.9715388693964,-0.156059557522355,-0.0948717548531394,0.37753990194672
8.212109375,1.060546875,9.611328125,4.480859375,0.438671875,3.858984375,4.169921875,5.258203125,7.453125,-2.109375,62.578125,77.1034044303371,-4.61598510745369,-0.0577874928014215,-0.0226783798822321,0.0919228601321112
1.993359375,9.766796875,8.367578125,8.212109375,4.169921875,0.127734375,7.901171875,6.501953125,17.203125,-35.859375,28.828125,98.2091635958322,7.0568690527422,-0.117370346084511,-0.105771070344292,0.318059235823006
6.968359375,4.791796875,3.392578125,3.237109375,9.144921875,5.102734375,2.926171875,1.526953125,4.203125,-80.859375,73.828125,75.3657211023197,0.108575452144907,-0.0561499727117932,-0.00692942385546,0.0702419410533878
